"SEQ_NO","MTI","CARD_NO","PROC_CODE","ORIGINAL_DATE","TRACE_NO","REF_NO","ACQ_ID","ISS_ID","APPROVAL_CODE","RESPONSE_CODE","TERM_ID","ORIGINAL_DATA","REVERSED","TNX_STAMP","PACKAGER","AMOUNT","ACCOUNT_NO","LOCAL_TIME","LOCAL_DATE","SETTLE_DATE","MCC","CURRENCY_CODE","DEST_ACCOUNT","RECONCILE_TIME","TRANX_DATE","ADD_INFO","SERVICE_CODE","VAS_INFO","BEN_ID","IBFT_INFO","AMOUNT_SETTLEMENT","AMOUNT_CARDHOLDER","CURRENCY_CODE_SETTLEMENT","CURRENCY_CODE_CARDHOLDER","CONVERSION_RATE_SETTLEMENT","CONVERSION_RATE_CARDHOLDER","USER_DEFINE","TRANX_REF","ACQ_INST_COUNTRY_CODE","POS_ENTRY_MODE","POS_CONDITION_CODE","CARD_ACCEPT_ID_CODE","CARD_ACCEPT_NAME_LOCATION","SETTLEMENT_CODE","PAYMENT_CODE","INFO_HOLDER_BENECIARY","RECORD_DATA","ADD_RECORD_DATA","REVERSED123","REVERSED124","REVERSED125","MESSAGE_NUMBER","LAST_MESSAGE_NUMBER","INSERT INTO RPT.ISOMESSAGE (SEQ_NO","LAST_MESSAGE_NUMBER) VALUES"
301070377,"0210","60175787","912020","0908163639","736603","525123736603","555666","980478","000246","00","10000000",,N,2025-09-08 23:36:39.000,,3600000,"60175787","233639","0908","0909",,"704","100000000003",,2025-09-08 00:00:00.000,"KBANK
hanoi",IF_DEP,"5251BIDCA22ZHGY3","668888",gd in phien T2 08sep 5,3600000,,"704",,"00000001",,"04","5251BIDCA22ZHGY3",,"000","00",,,1,,CONG TY TNHH MOT THANH VIEN ABC999 ,,,,,,,,,
301070420,"0210","0021019688003","912020","0908234540","025469","525120025469","970438","980478",,"68","00000001",,N,2025-09-08 23:45:41.000,,1066000,"0021019688003","234540","0908","0909",,"704","51218242",,2025-09-08 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5251BVBVA22ZHGQL","555666",Tool ck daily 68,1066000,,"704",,"00000001",,"04","5251BVBVA22ZHGQL",,"012","05",,,1,,Nguyen Van Bao Viet,,,,,,,,,
301070446,"0210","0021019688003","912020","0908235541","025471","525120025471","970438","980478",,"68","00000001",,N,2025-09-08 23:55:42.000,,1015500,"0021019688003","235541","0908","0909",,"704","51218242",,2025-09-08 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5251BVBVA22ZHGQT","555666",Tool ck daily 69,1015500,,"704",,"00000001",,"04","5251BVBVA22ZHGQT",,"012","05",,,1,,Nguyen Van Bao Viet,,,,,,,,,
301070467,"0200","0021019688003","912020","0909000543","025473","525220025473","970438","980478",,,"00000001",,N,2025-09-09 00:05:44.000,,1022800,"0021019688003","000543","0909","0909",,"704","51218242",,2025-09-09 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5252BVBVA22ZHGQW","555666",Tool ck daily 70,1022800,,"704",,"00000001",,"04","5252BVBVA22ZHGQW",,"012","05",BAOVIETBANK0001,IBT NAPAS                HANOI       VNM,1,,Nguyen Van Bao Viet,,,,,,,,,
301070390,"0200","0825189748","912020","0908170834","003647","314172003647","970422",,,,"97042205",,N,2025-09-09 00:08:35.000,,6600000,"0825189748","000834","0909","0909","7299","704","0129837294",,2025-09-09 00:00:00.000,"MBBANK IBFT
Cat Linh Ba Dinh Ha Noi VN",IF_DEP,"5252IBT1dQ2AE8F7","970406",AUTOMATION TEST IDH 909C010890 Dang ky mua MBAM,6600000,,"704",,"00000001",,"05","5252IBT1dQ2AE8F7",,"000","00","111111111111111",IBT-MB                   HANOI       VNM,1,,,,,,,,,,,
301070391,"0200","0825189748","912020","0908170834","003648","314319003648","970422",,,,"97042205",,N,2025-09-09 00:08:36.000,,8800000,"0825189748","000834","0909","0909","7299","704","0129837294",,2025-09-09 00:00:00.000,"MBBANK IBFT
Cat Linh Ba Dinh Ha Noi VN",IF_DEP,"5252IBT1dQ2AE8FK","970406",AUTOMATION TEST IDH 909C010890 Dang ky mua MBBOND,8800000,,"704",,"00000001",,"05","5252IBT1dQ2AE8FK",,"000","00","111111111111111",IBT-MB                   HANOI       VNM,1,,,,,,,,,,,
301070392,"0200","0322495194","912020","0908170837","003649","317571003649","970422",,,,"97042205",,N,2025-09-09 00:08:38.000,,68686800,"0322495194","000837","0909","0909","7299","704","0129837294",,2025-09-09 00:00:00.000,"MBBANK IBFT
Cat Linh Ba Dinh Ha Noi VN",IF_DEP,"5252IBT1dQ2AE8FE","970406",AUTOMATION TEST WKJ 909C010906 Dang ky mua MBBOND,68686800,,"704",,"00000001",,"05","5252IBT1dQ2AE8FE",,"000","00","111111111111111",IBT-MB                   HANOI       VNM,1,,,,,,,,,,,
301070487,"0200","0021019688003","912020","0909001545","025475","525220025475","970438","980478",,,"00000001",,N,2025-09-09 00:15:46.000,,1058100,"0021019688003","001545","0909","0909",,"704","51218242",,2025-09-09 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5252BVBVA22ZHGQE","555666",Tool ck daily 71,1058100,,"704",,"00000001",,"04","5252BVBVA22ZHGQE",,"012","05",BAOVIETBANK0001,IBT NAPAS                HANOI       VNM,1,,Nguyen Van Bao Viet,,,,,,,,,
301070504,"0200",VND1625000210001,"912020","0908172444","003658","284365003658","970422",,,,"97042205",,N,2025-09-09 00:24:46.000,,11232300,VND1625000210001,"002444","0909","0909","7299","704","0129837294",,2025-09-09 00:00:00.000,"MBBANK IBFT
Cat Linh Ba Dinh Ha Noi VN",IF_DEP,"5252IBT1dQ2AE83W","970406",NGAN HANG DONGA BANK,11232300,,"704",,"00000001",,"05","5252IBT1dQ2AE83W",,"000","00","111111111111111",IBT-MB                   HANOI       VNM,1,,,,,,,,,,,
301070505,"0200",VND1625000210001,"912020","0908172444","003659","284415003659","970422",,,,"97042205",,N,2025-09-09 00:24:47.000,,16456500,VND1625000210001,"002444","0909","0909","7299","704","0129837294",,2025-09-09 00:00:00.000,"MBBANK IBFT
Cat Linh Ba Dinh Ha Noi VN",IF_DEP,"5252IBT1dQ2AE83J","970406",NGAN HANG DONGA BANK,16456500,,"704",,"00000001",,"05","5252IBT1dQ2AE83J",,"000","00","111111111111111",IBT-MB                   HANOI       VNM,1,,,,,,,,,,,
301070506,"0200",VND1625000210001,"912020","0908172444","003660","284717003660","970422",,,,"97042205",,N,2025-09-09 00:24:48.000,,16456500,VND1625000210001,"002444","0909","0909","7299","704","0129837294",,2025-09-09 00:00:00.000,"MBBANK IBFT
Cat Linh Ba Dinh Ha Noi VN",IF_DEP,"5252IBT1dQ2AE831","970406",NGAN HANG DONGA BANK,16456500,,"704",,"00000001",,"05","5252IBT1dQ2AE831",,"000","00","111111111111111",IBT-MB                   HANOI       VNM,1,,,,,,,,,,,
301070507,"0200",VND1625000210001,"912020","0908172444","003661","284717003661","970422",,,,"97042205",,N,2025-09-09 00:24:50.000,,11232300,VND1625000210001,"002444","0909","0909","7299","704","0129837294",,2025-09-09 00:00:00.000,"MBBANK IBFT
Cat Linh Ba Dinh Ha Noi VN",IF_DEP,"5252IBT1dQ2AE83C","970406",NGAN HANG DONGA BANK,11232300,,"704",,"00000001",,"05","5252IBT1dQ2AE83C",,"000","00","111111111111111",IBT-MB                   HANOI       VNM,1,,,,,,,,,,,
301070525,"0200","0021019688003","912020","0909002546","025477","525220025477","970438","980478",,,"00000001",,N,2025-09-09 00:25:48.000,,1053500,"0021019688003","002546","0909","0909",,"704","51218242",,2025-09-09 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5252BVBVA22ZHGQG","555666",Tool ck daily 72,1053500,,"704",,"00000001",,"04","5252BVBVA22ZHGQG",,"012","05",BAOVIETBANK0001,IBT NAPAS                HANOI       VNM,1,,Nguyen Van Bao Viet,,,,,,,,,
301070530,"0200","0021019688003","912020","0909003548","025479","525220025479","970438","980478",,,"00000001",,N,2025-09-09 00:35:49.000,,1026600,"0021019688003","003548","0909","0909",,"704","51218242",,2025-09-09 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5252BVBVA22ZHGQK","555666",Tool ck daily 73,1026600,,"704",,"00000001",,"04","5252BVBVA22ZHGQK",,"012","05",BAOVIETBANK0001,IBT NAPAS                HANOI       VNM,1,,Nguyen Van Bao Viet,,,,,,,,,
301070537,"0200","0021019688003","912020","0909004549","025481","525220025481","970438","980478",,,"00000001",,N,2025-09-09 00:45:51.000,,1043900,"0021019688003","004549","0909","0909",,"704","51218242",,2025-09-09 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5252BVBVA22ZHGQV","555666",Tool ck daily 74,1043900,,"704",,"00000001",,"04","5252BVBVA22ZHGQV",,"012","05",BAOVIETBANK0001,IBT NAPAS                HANOI       VNM,1,,Nguyen Van Bao Viet,,,,,,,,,
301070543,"0200","0021019688003","912020","0909005551","025483","525220025483","970438","980478",,,"00000001",,N,2025-09-09 00:55:52.000,,1004300,"0021019688003","005551","0909","0909",,"704","51218242",,2025-09-09 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5252BVBVA22ZHGQX","555666",Tool ck daily 75,1004300,,"704",,"00000001",,"04","5252BVBVA22ZHGQX",,"012","05",BAOVIETBANK0001,IBT NAPAS                HANOI       VNM,1,,Nguyen Van Bao Viet,,,,,,,,,
301070468,"0210","0021019688003","912020","0909000543","025473","525220025473","970438","980478",,"68","00000001",,N,2025-09-09 00:05:44.000,,1022800,"0021019688003","000543","0909","0909",,"704","51218242",,2025-09-09 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5252BVBVA22ZHGQW","555666",Tool ck daily 70,1022800,,"704",,"00000001",,"04","5252BVBVA22ZHGQW",,"012","05",,,1,,Nguyen Van Bao Viet,,,,,,,,,
301070481,"0210","0825189748","912020","0908170834","003647","314172003647","970422",,"946185","00","97042205",,N,2025-09-09 00:08:35.000,,6600000,"0825189748","000834","0909","0909","7299","704","0129837294",,2025-09-09 00:00:00.000,"MBBANK IBFT
Cat Linh Ba Dinh Ha Noi VN",IF_DEP,"5252IBT1dQ2AE8F7","970406",AUTOMATION TEST IDH 909C010890 Dang ky mua MBAM,6600000,,"704",,"00000001",,"05","5252IBT1dQ2AE8F7",,"000","00",,,1,,,,,,,,,,,
301070482,"0210","0825189748","912020","0908170834","003648","314319003648","970422",,"891243","00","97042205",,N,2025-09-09 00:08:36.000,,8800000,"0825189748","000834","0909","0909","7299","704","0129837294",,2025-09-09 00:00:00.000,"MBBANK IBFT
Cat Linh Ba Dinh Ha Noi VN",IF_DEP,"5252IBT1dQ2AE8FK","970406",AUTOMATION TEST IDH 909C010890 Dang ky mua MBBOND,8800000,,"704",,"00000001",,"05","5252IBT1dQ2AE8FK",,"000","00",,,1,,,,,,,,,,,
301070483,"0210","0322495194","912020","0908170837","003649","317571003649","970422",,"643316","00","97042205",,N,2025-09-09 00:08:38.000,,68686800,"0322495194","000837","0909","0909","7299","704","0129837294",,2025-09-09 00:00:00.000,"MBBANK IBFT
Cat Linh Ba Dinh Ha Noi VN",IF_DEP,"5252IBT1dQ2AE8FE","970406",AUTOMATION TEST WKJ 909C010906 Dang ky mua MBBOND,68686800,,"704",,"00000001",,"05","5252IBT1dQ2AE8FE",,"000","00",,,1,,,,,,,,,,,
301070488,"0210","0021019688003","912020","0909001545","025475","525220025475","970438","980478",,"68","00000001",,N,2025-09-09 00:15:46.000,,1058100,"0021019688003","001545","0909","0909",,"704","51218242",,2025-09-09 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5252BVBVA22ZHGQE","555666",Tool ck daily 71,1058100,,"704",,"00000001",,"04","5252BVBVA22ZHGQE",,"012","05",,,1,,Nguyen Van Bao Viet,,,,,,,,,
301070499,"0210",VND1625000210001,"912020","0908172444","003658","284365003658","970422",,"988553","00","97042205",,N,2025-09-09 00:24:46.000,,11232300,VND1625000210001,"002444","0909","0909","7299","704","0129837294",,2025-09-09 00:00:00.000,"MBBANK IBFT
Cat Linh Ba Dinh Ha Noi VN",IF_DEP,"5252IBT1dQ2AE83W","970406",NGAN HANG DONGA BANK,11232300,,"704",,"00000001",,"05","5252IBT1dQ2AE83W",,"000","00",,,1,,,,,,,,,,,
301070500,"0210",VND1625000210001,"912020","0908172444","003659","284415003659","970422",,"188136","00","97042205",,N,2025-09-09 00:24:47.000,,16456500,VND1625000210001,"002444","0909","0909","7299","704","0129837294",,2025-09-09 00:00:00.000,"MBBANK IBFT
Cat Linh Ba Dinh Ha Noi VN",IF_DEP,"5252IBT1dQ2AE83J","970406",NGAN HANG DONGA BANK,16456500,,"704",,"00000001",,"05","5252IBT1dQ2AE83J",,"000","00",,,1,,,,,,,,,,,
301072864,"0200","9704229204205447304","912020","0909025600","024549","525220024549","970422","980478",,,"00017125",,N,2025-09-09 09:56:00.000,,2500000,"9704229204205447304","095551","0909","0909",,"704","123456",,2025-09-09 00:00:00.000,"test wallet ACC
18 Le Van Luong Yen Hoa Ha Noi VN",IF_DEP,"5252MSCBA22ZHGWB","970467",ytesst,2500000,,"704",,"00000001",,"05","5252MSCBA22ZHGWB",,"000","00","111111111111111",IBT-MB                 HANOI         VNM,1,,"3ki tu db",,,,,,,,,
301070521,"0210",VND1625000210001,"912020","0908172444","003660","284717003660","970422",,"198239","00","97042205",,N,2025-09-09 00:24:48.000,,16456500,VND1625000210001,"002444","0909","0909","7299","704","0129837294",,2025-09-09 00:00:00.000,"MBBANK IBFT
Cat Linh Ba Dinh Ha Noi VN",IF_DEP,"5252IBT1dQ2AE831","970406",NGAN HANG DONGA BANK,16456500,,"704",,"00000001",,"05","5252IBT1dQ2AE831",,"000","00",,,1,,,,,,,,,,,
301070522,"0210",VND1625000210001,"912020","0908172444","003661","284717003661","970422",,"311898","00","97042205",,N,2025-09-09 00:24:50.000,,11232300,VND1625000210001,"002444","0909","0909","7299","704","0129837294",,2025-09-09 00:00:00.000,"MBBANK IBFT
Cat Linh Ba Dinh Ha Noi VN",IF_DEP,"5252IBT1dQ2AE83C","970406",NGAN HANG DONGA BANK,11232300,,"704",,"00000001",,"05","5252IBT1dQ2AE83C",,"000","00",,,1,,,,,,,,,,,
301070526,"0210","0021019688003","912020","0909002546","025477","525220025477","970438","980478",,"68","00000001",,N,2025-09-09 00:25:48.000,,1053500,"0021019688003","002546","0909","0909",,"704","51218242",,2025-09-09 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5252BVBVA22ZHGQG","555666",Tool ck daily 72,1053500,,"704",,"00000001",,"04","5252BVBVA22ZHGQG",,"012","05",,,1,,Nguyen Van Bao Viet,,,,,,,,,
301070531,"0210","0021019688003","912020","0909003548","025479","525220025479","970438","980478",,"68","00000001",,N,2025-09-09 00:35:49.000,,1026600,"0021019688003","003548","0909","0909",,"704","51218242",,2025-09-09 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5252BVBVA22ZHGQK","555666",Tool ck daily 73,1026600,,"704",,"00000001",,"04","5252BVBVA22ZHGQK",,"012","05",,,1,,Nguyen Van Bao Viet,,,,,,,,,
301070538,"0210","0021019688003","912020","0909004549","025481","525220025481","970438","980478",,"68","00000001",,N,2025-09-09 00:45:51.000,,1043900,"0021019688003","004549","0909","0909",,"704","51218242",,2025-09-09 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5252BVBVA22ZHGQV","555666",Tool ck daily 74,1043900,,"704",,"00000001",,"04","5252BVBVA22ZHGQV",,"012","05",,,1,,Nguyen Van Bao Viet,,,,,,,,,
301070544,"0210","0021019688003","912020","0909005551","025483","525220025483","970438","980478",,"68","00000001",,N,2025-09-09 00:55:52.000,,1004300,"0021019688003","005551","0909","0909",,"704","51218242",,2025-09-09 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5252BVBVA22ZHGQX","555666",Tool ck daily 75,1004300,,"704",,"00000001",,"04","5252BVBVA22ZHGQX",,"012","05",,,1,,Nguyen Van Bao Viet,,,,,,,,,
301070584,"0200","0021019688003","912020","0909010552","025485","525220025485","970438","980478",,,"00000001",,N,2025-09-09 01:05:53.000,,1033300,"0021019688003","010552","0909","0909",,"704","51218242",,2025-09-09 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5252BVBVA22ZHGQ9","555666",Tool ck daily 76,1033300,,"704",,"00000001",,"04","5252BVBVA22ZHGQ9",,"012","05",BAOVIETBANK0001,IBT NAPAS                HANOI       VNM,1,,Nguyen Van Bao Viet,,,,,,,,,
301070598,"0200","0021019688003","912020","0909014638","025490","525220025490","970438","980478",,,"00000001",,N,2025-09-09 01:46:39.000,,1054300,"0021019688003","014638","0909","0909",,"704","51218242",,2025-09-09 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5252BVBVA22ZHGQI","555666",Tool ck daily 80,1054300,,"704",,"00000001",,"04","5252BVBVA22ZHGQI",,"012","05",BAOVIETBANK0001,IBT NAPAS                HANOI       VNM,1,,Nguyen Van Bao Viet,,,,,,,,,
301070585,"0210","0021019688003","912020","0909010552","025485","525220025485","970438","980478",,"68","00000001",,N,2025-09-09 01:05:54.000,,1033300,"0021019688003","010552","0909","0909",,"704","51218242",,2025-09-09 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5252BVBVA22ZHGQ9","555666",Tool ck daily 76,1033300,,"704",,"00000001",,"04","5252BVBVA22ZHGQ9",,"012","05",,,1,,Nguyen Van Bao Viet,,,,,,,,,
301070599,"0210","0021019688003","912020","0909014638","025490","525220025490","970438","980478",,"68","00000001",,N,2025-09-09 01:46:39.000,,1054300,"0021019688003","014638","0909","0909",,"704","51218242",,2025-09-09 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5252BVBVA22ZHGQI","555666",Tool ck daily 80,1054300,,"704",,"00000001",,"04","5252BVBVA22ZHGQI",,"012","05",,,1,,Nguyen Van Bao Viet,,,,,,,,,
